code,Bacteria_total,Microbial,AMF_PLFA,Actinobacteria_total,Fungi_total,Total_PLFA,AMF_NLFA,site,location,landuse
VB142,5.941515173,3.814066698,0.377613675,1.070467338,0.539448107,10.50659478,1.004469417,X,Swalmen,Grassland
VB143,9.462648276,6.630041526,0.598911459,1.698952915,1.468249777,17.85657572,1.858755817,X,Swalmen,Grassland
VB144,6.127770126,4.156912548,0.366127692,1.040932189,0.464475822,10.93514357,1.282501364,X,Swalmen,Grassland
VB145,7.671769896,3.96734628,0.603329158,1.042114,0.893240571,12.93805861,0.922454937,Y,Swalmen,Food_forest
VB146,8.100749088,3.930577125,0.590502866,1.172860865,0.558602137,12.94083638,0.358714678,Y,Swalmen,Food_forest
VB147,8.98536916,4.193934634,0.676594772,1.254082704,0.67278297,14.29520869,0.317704239,Y,Swalmen,Food_forest
VB148,5.588942806,3.195306061,0.320017943,0.922691327,0.272908703,9.209856487,0.226311166,Y,Swalmen,Food_forest
VB149,8.516161725,4.913426492,0.605373741,1.260243447,0.904253229,14.68887982,0.346239252,Y,Swalmen,Food_forest
VB150,9.280821046,4.40339222,0.730778575,1.308448006,0.657232698,14.8562671,0.642389764,Y,Swalmen,Food_forest
VB151,13.06656577,6.239831699,1.139330542,1.723710414,1.315064921,21.41773252,1.03343202,Z,Nevele,Food_forest
VB152,14.17869758,6.36417876,1.369164308,1.827807293,1.262282904,22.85232641,1.409709436,Z,Nevele,Food_forest
VB153,19.28977989,6.936173578,1.853040946,2.346742417,1.944918126,29.60769785,0.991970685,Z,Nevele,Food_forest
VB154,15.90188953,7.583043402,1.57061255,2.00264351,1.64149263,26.29988465,1.130326633,Z,Nevele,Food_forest
VB155,17.5633245,7.595397777,1.688504851,2.105960731,1.862384925,28.3223337,1.316969562,Z,Nevele,Food_forest
VB156,9.733605973,4.975358326,0.849118727,1.314031122,0.651332036,15.93433242,0.839090835,Z,Nevele,Food_forest
VB157,8.628406363,4.110869835,0.576111149,1.423333427,0.363937222,13.41263373,0.311288038,AA,Nevele,Arable_field
VB158,7.0659064,4.361742319,0.442562936,1.266124934,0.211408017,11.80400145,0.742102113,AA,Nevele,Arable_field
VB159,11.31602164,5.496384155,0.710079819,1.857629148,0.617413864,17.78647584,0.714328412,AA,Nevele,Arable_field
VB160,6.849686405,4.143546916,0.479135809,1.1086127,0.305571306,11.5163714,0.493558044,AA,Nevele,Arable_field
VB161,8.388172868,4.818436318,0.578006387,1.392879534,0.365598695,13.84383226,0.451520712,AA,Nevele,Arable_field
VB162,8.804629585,4.845412672,0.544616263,1.66131847,0.259170458,14.13852483,0.452198955,AA,Nevele,Arable_field
VB163,15.36225798,6.623538455,1.537434473,2.088590228,2.053538656,25.1706548,1.419327213,AB,Nevele,Forest
VB164,15.03154222,6.735164314,1.387591081,2.136251333,2.089026011,24.86135411,2.108138377,AB,Nevele,Forest
VB165,7.437248742,2.799977362,0.671554204,0.837913715,0.932102556,11.67696982,0.732860515,AB,Nevele,Forest
VB166,13.57293139,5.740597367,1.169140648,2.064486983,1.282032143,21.40786062,1.814758221,AB,Nevele,Forest
VB167,11.80980766,4.531730977,1.187130079,1.448736444,1.52586342,18.81168639,1.706079915,AB,Nevele,Forest
VB168,9.202327685,3.531890313,0.837049654,1.216957478,0.850617791,14.19331453,0.991579881,AB,Nevele,Forest
VB169,12.60251082,7.73503906,0.954558811,2.394178757,0.845614599,21.78624851,2.179046,AC,Nevele,Grassland
VB170,13.94256999,7.994367618,0.999551723,2.755161504,0.652726714,23.20249081,1.834788692,AC,Nevele,Grassland
VB171,12.66743627,7.931533237,0.823028804,2.383063628,0.545198459,21.60334364,1.926697471,AC,Nevele,Grassland
VB172,12.54844714,7.319163651,0.89140722,2.262891079,0.612985685,21.00994112,2.425512996,AC,Nevele,Grassland
VB173,14.04003932,8.194583669,0.954596377,2.721704773,0.511503681,23.31446409,1.879687547,AC,Nevele,Grassland
VB174,11.16033782,6.546548132,0.893677081,1.976379728,0.785183118,19.38574615,2.757253676,AC,Nevele,Grassland
VB175,14.93754694,7.236753495,1.064265543,2.755237218,0.714974601,23.53867878,0.720855344,AD,Houthulst,Food_forest
VB176,18.62579954,8.443985217,1.556512623,2.885741205,1.112159553,29.31453389,1.450216053,AD,Houthulst,Food_forest
VB177,19.43849848,7.847341862,1.730956259,2.793510838,0.951579491,29.51299556,0.94442282,AD,Houthulst,Food_forest
VB178,27.80502157,12.02717132,2.695176598,3.751546943,2.260302693,44.1557596,1.799619904,AD,Houthulst,Food_forest
VB179,21.9090624,8.768780766,2.445103234,2.662272147,1.945927206,34.5361067,1.555570696,AD,Houthulst,Food_forest
VB180,24.18407875,9.956755433,2.474617756,3.110806911,2.47758137,38.54377684,1.964383603,AD,Houthulst,Food_forest
VB181,9.353264919,4.756002411,0.944696018,1.540164246,0.741044335,15.5270857,5.229949402,AE,Houthulst,Grassland
VB182,10.48548103,4.69404314,1.102689773,1.65866781,1.027235611,17.04072683,4.996585651,AE,Houthulst,Grassland
VB183,11.38619619,5.380731909,1.199041752,1.666522748,1.06913844,18.72487867,4.558269077,AE,Houthulst,Grassland
VB184,9.031729795,4.431346223,0.834488183,1.345879659,0.883701589,14.94482747,3.402508835,AE,Houthulst,Grassland
VB185,9.309735642,4.624530898,0.997418824,1.438414091,0.975221076,15.67013046,5.924003128,AE,Houthulst,Grassland
VB186,9.373703123,4.68610489,1.051312251,1.430620933,0.842244474,15.67858995,4.350118219,AE,Houthulst,Grassland
VB187,15.83414809,6.414906885,0.77982069,3.772398919,0.88693174,23.5879431,1.247993427,AF,Houthulst,Forest
VB188,15.77371085,6.295419933,1.091589697,2.975900462,1.420025542,24.23233233,0.000000001,AF,Houthulst,Forest
VB189,17.71400403,6.934510531,1.338676493,2.929171457,2.261614945,27.85207313,1.94298775,AF,Houthulst,Forest
VB190,15.6047681,5.749665579,1.04860938,2.85486471,1.534689463,23.59998674,0.939289842,AF,Houthulst,Forest
VB191,13.9704315,6.35554868,1.192823856,3.780183097,1.360735075,22.50337437,0.176353593,AF,Houthulst,Forest
VB192,13.47487087,5.751001383,0.710797924,2.728090895,1.465011062,21.12200649,0.418634966,AF,Houthulst,Forest
VB193,8.088499382,3.481725942,0.670291457,1.337030132,0.45120326,12.44420959,0.239028175,AG,Houthulst,Arable_field
VB194,8.128215632,3.428785078,0.675875253,1.376921033,0.550954862,12.53492228,0.290219494,AG,Houthulst,Arable_field
VB195,8.877355168,3.65760085,0.775978323,1.476500147,0.598553582,13.67394128,0.297871766,AG,Houthulst,Arable_field
VB196,7.700946163,3.138101202,0.628765533,1.267838697,0.448954625,11.69229021,0.265813463,AG,Houthulst,Arable_field
VB197,7.093957783,3.221861776,0.611155047,1.101815937,0.485233226,11.20487104,0.302962754,AG,Houthulst,Arable_field
VB198,6.982000133,2.618070729,0.589603874,1.170600392,0.357205267,10.35464906,0.222330651,AG,Houthulst,Arable_field
VB199,45.95814555,14.50896874,3.210929815,5.759247271,2.020220388,64.88743622,7.145742136,AH,Rijswijk,Grassland
VB200,43.71632843,11.47835784,2.573319161,7.68609802,1.146205513,58.23702169,5.50050455,AH,Rijswijk,Grassland
VB201,48.26237813,13.79129485,3.439044004,8.095540802,1.778053386,66.48905122,5.131335031,AH,Rijswijk,Grassland
VB202,42.27947011,12.71841958,3.296967823,7.296312259,2.44811267,60.0057749,5.593404428,AH,Rijswijk,Grassland
VB203,43.26330383,12.55637016,3.085122178,7.745297806,1.294187276,59.44890554,6.864297492,AH,Rijswijk,Grassland
VB204,52.72292934,14.63647209,3.799969494,8.744322864,1.89888649,72.24554718,9.389756451,AH,Rijswijk,Grassland
VB205,22.35827784,7.730370437,1.953857793,3.595403035,2.201422621,33.82624239,7.131200775,AI,Rijswijk,Food_forest
VB206,25.84482125,8.749159223,2.490748992,4.18498638,2.655038678,39.26376812,5.251184441,AI,Rijswijk,Food_forest
VB207,26.2671563,9.24107332,2.162631597,4.744099033,1.922468109,39.09327878,3.659155676,AI,Rijswijk,Food_forest
VB208,25.74480935,8.766150014,2.364614896,4.185937528,1.956886988,38.33263237,3.849911056,AI,Rijswijk,Food_forest
VB209,22.66582949,8.443440567,2.304016922,3.738355684,2.293933697,35.26607958,5.715349216,AI,Rijswijk,Food_forest
VB210,22.4996059,7.997839887,2.184223115,3.920535579,1.609843575,33.85545829,9.18974926,AI,Rijswijk,Food_forest
VB211,15.63940467,4.899820045,1.275492422,2.941944308,0.612605773,22.13897748,1.090182964,AJ,Rijswijk,Arable_field
VB212,18.56929069,5.428264285,1.338476125,3.656022749,0.479207502,25.4548002,0.532110228,AJ,Rijswijk,Arable_field
VB213,16.59590475,5.29572208,1.180842278,3.302395037,0.494251852,23.23683116,0.696511099,AJ,Rijswijk,Arable_field
VB214,16.18116401,4.587680986,1.344863784,3.093022092,0.539920834,22.3770848,0.561903812,AJ,Rijswijk,Arable_field
VB215,14.79690149,4.381246885,1.057627562,2.996199576,0.3101221,20.26913569,0.901828574,AJ,Rijswijk,Arable_field
VB216,15.62046615,3.778179294,1.090941786,3.196184004,0.33770097,20.53269799,0.642973145,AJ,Rijswijk,Arable_field
VB217,23.80766562,8.270750952,2.478595476,3.541038524,4.257661619,38.36366133,5.599928146,AK,Rijswijk,Forest
VB218,21.26533339,6.999339194,2.041714757,3.194785086,4.040081005,34.00257017,7.46174296,AK,Rijswijk,Forest
VB219,23.80810144,9.791706548,2.137618167,3.632715266,4.91101767,40.13847081,7.650048348,AK,Rijswijk,Forest
VB220,30.21812542,9.67847246,3.466334201,4.201145121,3.738967228,46.54494898,6.031998601,AK,Rijswijk,Forest
VB221,27.88826698,9.925377906,3.012584844,3.940217954,4.688548178,44.98427846,5.111141946,AK,Rijswijk,Forest
VB222,27.94754578,9.88165462,2.755611016,4.007726187,5.342437864,45.39815281,4.9912392,AK,Rijswijk,Forest
VB223,32.903655,10.5435271,2.689932307,5.557234322,1.966809654,47.51094249,10.59805165,AL,Oostwaard,Grassland
VB224,33.38001676,11.05414722,3.312469904,5.860096724,1.917103058,49.01434187,13.82706635,AL,Oostwaard,Grassland
VB225,32.99542541,10.40080763,3.609885208,5.733230036,1.599971173,47.9871951,13.29743885,AL,Oostwaard,Grassland
VB226,21.76029835,8.039933202,1.970195792,3.87836388,0.77453016,32.0356774,6.521167877,AL,Oostwaard,Grassland
VB227,31.47851745,10.08816832,3.162152939,5.201397297,1.895173068,46.04984531,11.04843604,AL,Oostwaard,Grassland
