code,site,location,landuse,soiltexture,bulkdensity,pH_KCl,C_total,N_total,NH4,NO3,P_total,P_Olsen,P_Ox,K,Mg,Ca,Na,Al,Fe
VB115,T,Amsterdam,Grassland,clay,1.46,7.4,3.035,0.184,10.870,2.928,449,16.3,123.0,92.6,102.4,3461,24.6,<bg,<bg
VB116,T,Amsterdam,Grassland,clay,1.45,7.4,3.317,0.19,8.055,4.547,430,15.5,123.5,96.3,78.9,3259,18.6,<bg,<bg
VB117,T,Amsterdam,Grassland,clay,1.43,7.6,2.22,0.139,4.273,1.853,279,11.7,86.4,54.3,47.4,2248,8.6,<bg,<bg
VB118,T,Amsterdam,Grassland,clay,1.42,7.4,3.31,0.194,5.315,9.289,548,30.6,197.5,119.4,90.1,3315,13.7,<bg,<bg
VB119,T,Amsterdam,Grassland,clay,1.41,7.4,2.808,0.146,6.763,3.829,378,10.8,92.1,103.5,85.0,2699,19.1,<bg,<bg
VB120,T,Amsterdam,Grassland,clay,1.54,7.6,2.585,0.158,4.205,1.546,337,14.7,96.1,59.0,52.9,2232,10.1,<bg,<bg
VB121,U,Amsterdam,Food_forest,clay,1.24,7.8,2.559,0.155,4.782,8.030,594,41.4,216.0,229.9,67.0,2681,7.1,<bg,<bg
VB122,U,Amsterdam,Food_forest,clay,1.37,7.5,2.479,0.149,7.008,6.581,528,30.0,193.1,162.1,65.8,2830,9.7,<bg,<bg
VB123,U,Amsterdam,Food_forest,clay,1.46,7.7,2.245,0.123,3.510,1.997,400,12.9,120.0,87.2,36.7,2251,7.1,<bg,<bg
VB124,U,Amsterdam,Food_forest,clay,1.39,7.7,2.488,0.148,6.722,3.775,527,31.8,177.5,149.4,62.8,2441,7.5,<bg,<bg
VB125,U,Amsterdam,Food_forest,clay,1.36,7.3,2.674,0.162,6.097,3.901,570,40.7,211.2,197.1,77.8,3281,7.5,<bg,<bg
VB126,U,Amsterdam,Food_forest,clay,1.41,7.4,2.545,0.145,4.074,2.618,527,36.8,197.2,173.9,63.1,2883,6.5,<bg,<bg
VB127,V,Amsterdam,Forest,clay,1.05,7.1,3.805,0.234,7.176,3.289,1044,80.2,521.7,278.6,168.6,5417,25.0,<bg,<bg
VB128,V,Amsterdam,Forest,clay,1.28,7.0,3.328,0.225,7.037,4.245,1096,83.8,484.3,326.8,169.7,4843,20.9,<bg,<bg
VB129,V,Amsterdam,Forest,clay,1.13,7.1,2.823,0.21,5.215,2.434,900,74.1,451.0,335.8,147.3,4352,20.9,<bg,<bg
VB130,V,Amsterdam,Forest,clay,1.10,7.4,2.372,0.161,6.109,0.819,817,68.1,424.7,199.7,126.2,3104,20.0,<bg,<bg
VB131,V,Amsterdam,Forest,clay,1.41,7.3,2.432,0.155,4.982,2.829,809,58.8,339.1,190.3,119.3,2953,13.8,<bg,<bg
